sensor_id,datetime,timezone,longitude,latitude
04d0a8fc-7e0d-4963-8cd2-a79446fa550f,1/1/2021 6:15,Europe/Paris,6.1250598,45.925854
7588a6f1-f326-49ef-b5e3-1a74b4d41c3d,1/1/2021 11:15,Europe/Stockholm,11.8915238,57.6593247
e8f2f08c-4564-4b1c-acd2-2455ecf43231,1/1/2021 12:40,Asia/Chongqing,98.326906,31.598328
3b049c0d-a2cc-438d-9d7b-1c52c6010ca1,1/1/2021 15:01,Asia/Yerevan,44.0097387,40.1312258
0a4eafee-accf-4bfc-9e45-4a9082fb5fa3,1/1/2021 20:00,America/Manaus,-65.6658568,-4.4606478
358d02a8-33fa-46a7-9863-047aac5a77ee,1/1/2021 21:47,Asia/Jakarta,106.83139,-6.17017
8aae376c-b0b6-4607-bd1a-272a834e210a,1/1/2021 22:03,Asia/Makassar,118.9907046,-9.5899907
bf8e2022-e905-4611-9938-f486cb61de77,2/1/2021 0:52,Asia/Harbin,128.799478,47.727687
d920a58f-d307-4885-8654-7a3d2586582d,2/1/2021 4:47,Asia/Jakarta,6.186692,52.804249
4bcd8a03-2b7b-47b9-b68e-dd4c0f1da0ac,2/1/2021 8:36,Europe/Lisbon,-8.7329478,39.7575072
048a7f1f-211d-4e7d-aebf-0f0f8f14f3d7,2/1/2021 8:43,Asia/Harbin,121.341969,30.741991
6703e120-ef4d-4457-a771-37ad7621ad48,2/1/2021 12:24,Asia/Shanghai,-74.8058417,41.3234558
f0160bb7-cdf3-4d7a-b460-1f38b02d6d41,2/1/2021 12:56,Europe/Dublin,-6.1920933,53.3916434
82239550-8a4e-4b4e-8074-2b283d97674e,2/1/2021 13:28,Asia/Shanghai,115.431228,38.822671
c078e880-1bd7-4646-99d8-2c897f363d47,2/1/2021 13:59,Asia/Bangkok,101.3608214,15.2988083
635cd6a3-a24a-4147-a005-fe953e1c79e9,2/1/2021 14:12,Africa/Johannesburg,25.0080443,-31.4951912
61fe3c96-4b5c-4c15-af90-5ddb88a5f46a,2/1/2021 16:05,Asia/Kuching,116.0761121,5.9840985
3da34109-9c50-4ba0-80c2-5762e4466747,2/1/2021 16:14,Asia/Kuching,116.0761121,5.9840985
